[0] x: 166	 y: (158, 159)
[1] x: 167	 y: (158, 160)
[2] x: 168	 y: (158, 161)
[3] x: 169	 y: (158, 162)
[4] x: 170	 y: (158, 163)
[5] x: 171	 y: (158, 164)
[6] x: 172	 y: (158, 165)
[7] x: 173	 y: (158, 166)
[8] x: 174	 y: (158, 167)
[9] x: 175	 y: (158, 168)
[10] x: 176	 y: (158, 169)
[11] x: 177	 y: (158, 170)
[12] x: 178	 y: (158, 171)
[13] x: 179	 y: (158, 172)
[14] x: 180	 y: (158, 173)
[15] x: 181	 y: (158, 174)
[16] x: 182	 y: (158, 175)
[17] x: 183	 y: (158, 176)
[18] x: 184	 y: (158, 177)
[19] x: 185	 y: (158, 178)
[20] x: 186	 y: (158, 179)
[21] x: 187	 y: (158, 180)
[22] x: 188	 y: (158, 181)
[23] x: 189	 y: (158, 182)
[24] x: 190	 y: (158, 183)
[25] x: 191	 y: (158, 184)
[26] x: 192	 y: (158, 185)
[27] x: 193	 y: (158, 186)
[28] x: 194	 y: (158, 187)
[29] x: 195	 y: (158, 188)
[30] x: 196	 y: (158, 189)
[31] x: 197	 y: (158, 190)
[32] x: 198	 y: (158, 191)
[33] x: 199	 y: (158, 192)
[34] x: 200	 y: (158, 193)
[35] x: 201	 y: (158, 194)
[36] x: 202	 y: (158, 195)
[37] x: 203	 y: (158, 196)
[38] x: 204	 y: (158, 197)
[39] x: 205	 y: (158, 198)
[40] x: 206	 y: (158, 199)
[41] x: 207	 y: (158, 200)
[42] x: 208	 y: (158, 201)
[43] x: 209	 y: (158, 202)
[44] x: 210	 y: (158, 203)
[45] x: 211	 y: (158, 204)
[46] x: 212	 y: (158, 205)
[47] x: 213	 y: (158, 206)
[48] x: 214	 y: (158, 207)
[49] x: 215	 y: (158, 208)
[50] x: 216	 y: (158, 209)
[51] x: 217	 y: (158, 210)
[52] x: 218	 y: (158, 211)
[53] x: 219	 y: (158, 212)
[54] x: 220	 y: (158, 213)
[55] x: 221	 y: (158, 214)
[56] x: 222	 y: (158, 215)
[57] x: 223	 y: (158, 216)
[58] x: 224	 y: (158, 217)
[59] x: 225	 y: (158, 218)
[60] x: 226	 y: (158, 219)
[61] x: 227	 y: (158, 220)
[62] x: 228	 y: (158, 221)
[63] x: 229	 y: (158, 222)
[64] x: 230	 y: (158, 223)
[65] x: 231	 y: (158, 224)
[66] x: 232	 y: (158, 225)
[67] x: 233	 y: (158, 226)
[68] x: 234	 y: (158, 227)
[69] x: 235	 y: (158, 228)
[70] x: 236	 y: (158, 229)
[71] x: 237	 y: (159, 230)
[72] x: 238	 y: (160, 231)
[73] x: 239	 y: (161, 232)
[74] x: 240	 y: (162, 233)
[75] x: 241	 y: (163, 234)
[76] x: 242	 y: (164, 235)
[77] x: 243	 y: (165, 236)
[78] x: 244	 y: (166, 237)
[79] x: 245	 y: (167, 238)
[80] x: 246	 y: (168, 239)
[81] x: 247	 y: (169, 240)
[82] x: 248	 y: (170, 241)
[83] x: 249	 y: (171, 242)
[84] x: 250	 y: (172, 243)
[85] x: 251	 y: (173, 244)
[86] x: 252	 y: (174, 244)
[87] x: 253	 y: (175, 245)
[88] x: 254	 y: (176, 244)
[89] x: 255	 y: (177, 245)
[90] x: 256	 y: (178, 244)
[91] x: 257	 y: (179, 245)
[92] x: 258	 y: (180, 242)
[93] x: 259	 y: (181, 241)
[94] x: 260	 y: (182, 241)
[95] x: 261	 y: (183, 240)
[96] x: 262	 y: (184, 238)
[97] x: 263	 y: (185, 238)
[98] x: 264	 y: (186, 239)
[99] x: 265	 y: (187, 239)
[100] x: 266	 y: (194, 240)
[101] x: 267	 y: (200, 241)
[102] x: 268	 y: (206, 235)
[103] x: 269	 y: (206, 235)
[104] x: 270	 y: (206, 236)
[105] x: 271	 y: (207, 236)
[106] x: 272	 y: (208, 219)
[107] x: 273	 y: (208, 220)
[108] x: 274	 y: (209, 220)
[109] x: 275	 y: (209, 221)
[110] x: 276	 y: (210, 221)
[111] x: 277	 y: (210, 222)
[112] x: 278	 y: (210, 222)
[113] x: 279	 y: (211, 223)
[114] x: 280	 y: (211, 224)
[115] x: 281	 y: (211, 225)
[116] x: 282	 y: (212, 225)
[117] x: 283	 y: (212, 226)
[118] x: 284	 y: (212, 226)
[119] x: 285	 y: (213, 227)
[120] x: 286	 y: (213, 228)
[121] x: 287	 y: (214, 229)
[122] x: 288	 y: (214, 229)
[123] x: 289	 y: (215, 229)
[124] x: 290	 y: (215, 230)
[125] x: 291	 y: (215, 231)
[126] x: 292	 y: (217, 231)
[127] x: 293	 y: (217, 232)
[128] x: 294	 y: (218, 232)
[129] x: 295	 y: (218, 232)
[130] x: 296	 y: (219, 233)
[131] x: 297	 y: (220, 233)
[132] x: 298	 y: (220, 234)
[133] x: 299	 y: (221, 234)
[134] x: 300	 y: (222, 235)
[135] x: 301	 y: (223, 234)
[136] x: 302	 y: (224, 235)
[137] x: 303	 y: (225, 235)
[138] x: 304	 y: (226, 236)
[139] x: 305	 y: (227, 236)
[140] x: 306	 y: (228, 237)
[141] x: 307	 y: (229, 238)
[142] x: 308	 y: (230, 238)
[143] x: 309	 y: (231, 239)
[144] x: 310	 y: (232, 240)
[145] x: 311	 y: (233, 241)
[146] x: 312	 y: (234, 241)
[147] x: 313	 y: (235, 242)
[148] x: 314	 y: (236, 243)
[149] x: 315	 y: (237, 243)
[150] x: 316	 y: (238, 244)
[151] x: 317	 y: (239, 245)
[152] x: 318	 y: (240, 245)
[153] x: 319	 y: (241, 246)
[154] x: 320	 y: (242, 247)
[155] x: 321	 y: (243, 248)
[156] x: 322	 y: (244, 248)
[157] x: 323	 y: (245, 248)
[158] x: 324	 y: (246, 249)
[159] x: 325	 y: (247, 249)
[160] x: 326	 y: (248, 249)
[161] x: 327	 y: (249, 250)
[162] x: 328	 y: (250, 251)
