[0] x: 0	 y: (0, 0)
[1] x: 198	 y: (188, 190)
[2] x: 199	 y: (188, 194)
[3] x: 200	 y: (186, 201)
[4] x: 201	 y: (187, 202)
[5] x: 202	 y: (187, 203)
[6] x: 203	 y: (186, 204)
[7] x: 204	 y: (186, 205)
[8] x: 205	 y: (186, 206)
[9] x: 206	 y: (185, 207)
[10] x: 207	 y: (186, 208)
[11] x: 208	 y: (185, 209)
[12] x: 209	 y: (186, 209)
[13] x: 210	 y: (186, 210)
[14] x: 211	 y: (185, 212)
[15] x: 212	 y: (186, 213)
[16] x: 213	 y: (186, 213)
[17] x: 214	 y: (187, 215)
[18] x: 215	 y: (188, 215)
[19] x: 216	 y: (189, 216)
[20] x: 217	 y: (190, 217)
[21] x: 218	 y: (191, 217)
[22] x: 219	 y: (192, 220)
[23] x: 220	 y: (193, 220)
[24] x: 221	 y: (194, 222)
[25] x: 222	 y: (195, 222)
[26] x: 223	 y: (196, 223)
[27] x: 224	 y: (197, 224)
[28] x: 225	 y: (198, 224)
[29] x: 226	 y: (199, 225)
[30] x: 227	 y: (200, 225)
[31] x: 228	 y: (201, 227)
[32] x: 229	 y: (202, 227)
[33] x: 230	 y: (203, 228)
[34] x: 231	 y: (204, 228)
[35] x: 232	 y: (205, 229)
[36] x: 233	 y: (206, 229)
[37] x: 234	 y: (207, 230)
[38] x: 235	 y: (208, 230)
[39] x: 236	 y: (209, 231)
[40] x: 237	 y: (210, 232)
[41] x: 238	 y: (211, 233)
[42] x: 239	 y: (212, 233)
[43] x: 240	 y: (213, 234)
[44] x: 241	 y: (214, 235)
[45] x: 242	 y: (215, 235)
[46] x: 243	 y: (216, 235)
[47] x: 244	 y: (217, 236)
[48] x: 245	 y: (218, 238)
[49] x: 246	 y: (219, 238)
[50] x: 247	 y: (220, 239)
[51] x: 248	 y: (221, 239)
[52] x: 249	 y: (222, 240)
[53] x: 250	 y: (222, 240)
[54] x: 251	 y: (223, 241)
[55] x: 252	 y: (223, 241)
[56] x: 253	 y: (224, 242)
[57] x: 254	 y: (224, 242)
[58] x: 255	 y: (225, 242)
